SNI_Ex_Network_Diversity,SNI_Ex_People_Count,SNI_Ex_Embed_Networks,NIHTB_Emotional_Support,NIHTB_Friendship,NIHTB_Loneliness,NIHTB_Instrumental_Support,NIHTB_Perceived_Hostility,NIHTB_Perceived_Rejection
5,6,1,24,35,5,25,8,8
6,12,2,32,28,11,26,14,17
7,11,1,31,26,7,28,18,13
4,15,2,35,34,7,35,17,17
5,14,2,40,35,5,40,9,8
5,11,1,37,29,5,36,19,21
4,20,3,36,36,5,31,16,16
5,12,1,23,17,19,32,13,12
6,11,1,33,24,11,35,19,12
5,11,0,32,29,10,30,15,9
3,11,1,11,14,19,16,16,18
5,9,2,24,22,15,29,16,23
3,5,0,39,16,18,38,22,23
4,13,2,30,29,8,30,12,11
4,12,1,32,13,17,11,8,17
5,14,2,32,23,14,32,16,9
6,11,1,40,26,12,23,14,9
3,4,0,10,12,25,8,31,24
4,6,1,35,24,5,26,11,11
4,11,1,39,35,6,32,14,9
5,6,1,40,29,5,35,13,8
8,18,2,40,26,5,32,8,8
3,10,1,40,38,7,38,15,8
3,23,1,38,25,6,38,12,11
7,8,1,40,35,5,40,13,9
7,27,2,29,20,11,32,19,21
5,12,2,35,24,9,35,20,12
3,3,0,38,26,5,31,8,8
1,1,0,8,8,23,23,15,12
6,14,1,27,24,13,26,32,24
2,3,0,8,8,20,8,23,28
4,13,1,27,25,12,29,21,21
6,16,2,40,30,5,37,10,8
7,16,2,32,26,5,32,23,16
2,8,1,30,27,12,19,10,13
1,1,0,29,16,11,29,23,20
7,13,2,34,32,7,32,16,16
5,11,1,32,14,12,26,22,9
5,7,1,32,19,15,32,16,17
8,15,2,30,32,7,31,15,22
6,32,3,26,24,16,20,17,22
4,11,1,24,22,15,40,24,24
4,21,3,35,31,9,28,15,11
7,18,2,32,30,9,31,13,17
3,11,1,23,21,13,29,19,17
4,14,2,32,20,15,14,24,23
6,15,1,35,30,7,36,22,9
6,18,3,40,40,5,40,8,8
7,16,2,40,29,5,33,18,14
2,4,0,30,18,19,17,13,13
4,12,1,32,29,5,35,9,8
2,9,1,12,16,20,13,17,13
5,9,2,34,16,15,23,9,20
3,9,1,26,12,12,9,20,21
2,4,0,21,21,20,24,24,24
2,8,1,16,17,15,8,8,25
5,13,1,37,36,8,27,16,13
3,5,0,24,19,10,40,16,8
7,12,2,40,32,7,32,16,16
4,11,1,34,26,9,31,16,16
6,9,1,40,31,5,40,8,8
3,12,1,30,30,8,20,18,13
4,7,1,24,18,15,24,8,8
5,9,1,28,23,9,34,12,18
4,5,1,32,13,15,32,16,16
5,7,0,32,30,15,34,15,18
5,25,2,40,17,5,32,22,13
2,6,1,24,24,15,24,24,24
6,14,1,34,26,13,33,15,16
5,7,0,27,27,14,23,23,26
6,10,1,36,33,5,40,9,8
2,8,1,21,21,19,33,14,13
6,10,1,19,30,13,29,11,10
2,2,0,8,8,25,35,29,17
4,29,1,26,25,13,31,18,22
3,7,1,11,13,8,12,9,8
4,11,1,40,22,5,40,8,8
4,11,1,40,37,13,40,8,8
3,9,1,8,8,25,30,10,26
8,15,2,32,31,7,35,19,14
5,19,3,39,39,5,26,10,8
5,16,1,32,32,10,29,16,16
3,28,2,20,22,5,16,14,20
3,11,2,40,30,5,20,8,8
4,12,1,24,24,12,21,11,8
3,6,0,27,8,13,30,12,13
4,12,1,28,26,14,30,13,12
5,24,2,40,39,5,40,8,8
6,12,2,27,19,20,40,15,22
2,2,0,24,12,18,24,8,12
3,4,0,37,36,5,32,8,8
7,18,3,32,23,10,32,9,15